Country	InDelta_Citation_ij	Year	Field
API	4.440892098500626e-16	1980.0	162853370
White	5.551115123125784e-16	1980.0	162853370
API	-0.3718965640048809	1981.0	162853370
White	1.0077151594601057	1981.0	162853370
Hispanic	-0.6358185954552239	1981.0	162853370
API	-0.2334712169141706	1982.0	162853370
White	1.1977607374664831	1982.0	162853370
Hispanic	-0.9642895205523128	1982.0	162853370
API	-0.3225470830205916	1983.0	162853370
White	0.8976183364872126	1983.0	162853370
Hispanic	-0.5750712534666211	1983.0	162853370
API	0.4780287379334967	1984.0	162853370
White	0.5666995636075428	1984.0	162853370
Hispanic	-1.0447283015410391	1984.0	162853370
API	-0.1670073495265652	1985.0	162853370
White	1.2435512917828044	1985.0	162853370
Black	-0.2954643559731655	1985.0	162853370
Hispanic	-0.7810795862830751	1985.0	162853370
API	-1.414213562373095	1986.0	162853370
White	1.414213562373095	1986.0	162853370
API	-1.1102230246251563e-16	1987.0	162853370
White	1.1102230246251563e-16	1987.0	162853370
API	0.5213807987356062	1988.0	162853370
White	0.9469736599417664	1988.0	162853370
Black	-0.718228356992667	1988.0	162853370
Hispanic	-0.7501261016847037	1988.0	162853370
API	0.2457733514089601	1989.0	162853370
White	0.9878580294501428	1989.0	162853370
Black	-0.8047828018725292	1989.0	162853370
Hispanic	-0.4288485789865741	1989.0	162853370
API	0.4872645912552357	1990.0	162853370
White	0.8324463731269957	1990.0	162853370
Black	-0.6196801634660388	1990.0	162853370
Hispanic	-0.7000308009161943	1990.0	162853370
API	0.6738119437297535	1991.0	162853370
White	0.8033924402682429	1991.0	162853370
Black	-1.021135009468367	1991.0	162853370
Hispanic	-0.4560693745296302	1991.0	162853370
API	0.3820874058533192	1992.0	162853370
White	0.5481953534495454	1992.0	162853370
Black	-0.9302827593028652	1992.0	162853370
API	0.6942697492955433	1993.0	162853370
White	1.1228739679575084	1993.0	162853370
Black	-1.275389162719444	1993.0	162853370
Hispanic	-0.5417545545336047	1993.0	162853370
API	0.4317731162542126	1994.0	162853370
White	0.5921308031757433	1994.0	162853370
Hispanic	-1.0239039194299568	1994.0	162853370
API	0.4481808508741002	1995.0	162853370
White	0.9217814826976356	1995.0	162853370
Black	-0.8833625866594207	1995.0	162853370
Hispanic	-0.4865997469123167	1995.0	162853370
API	0.8591024671932838	1996.0	162853370
White	0.8827574224697649	1996.0	162853370
Black	-1.0066717159984182	1996.0	162853370
Hispanic	-0.7351881736646299	1996.0	162853370
API	0.6327761789522013	1997.0	162853370
White	0.922619986535949	1997.0	162853370
Black	-1.1307246641692774	1997.0	162853370
Hispanic	-0.4246715013188725	1997.0	162853370
API	0.6079240177184063	1998.0	162853370
White	0.9895831009817764	1998.0	162853370
Black	-0.9826607509195098	1998.0	162853370
Hispanic	-0.6148463677806714	1998.0	162853370
API	0.7495645290611744	1999.0	162853370
White	0.7245093647689088	1999.0	162853370
Black	-0.880901990304774	1999.0	162853370
Hispanic	-0.5931719035253088	1999.0	162853370
Black	-0.9717491987351066	2000.0	162853370
Hispanic	-0.3627192217964772	2000.0	162853370
White	0.9426654793794912	2000.0	162853370
API	0.4702449891124327	2000.0	162853370
API	0.6436158753058442	2001.0	162853370
White	0.790996500894443	2001.0	162853370
Black	-0.7318846219916075	2001.0	162853370
Hispanic	-0.7027277542086767	2001.0	162853370
API	0.6503232056020681	2002.0	162853370
White	0.90703561285665	2002.0	162853370
Black	-0.7670625969622479	2002.0	162853370
Hispanic	-0.7902962214964709	2002.0	162853370
API	0.6169283221213289	2003.0	162853370
White	0.6623086219687936	2003.0	162853370
Black	-0.6514859811771473	2003.0	162853370
Hispanic	-0.6277509629129748	2003.0	162853370
API	0.7390515110115068	2004.0	162853370
White	0.8100671597616079	2004.0	162853370
Black	-0.875518270853203	2004.0	162853370
Hispanic	-0.6736003999199119	2004.0	162853370
Black	-0.4895192956515206	2005.0	162853370
Hispanic	-0.3519939112542222	2005.0	162853370
White	0.8733964824123019	2005.0	162853370
API	0.6719985563119495	2005.0	162853370
API	0.6916380818203454	2006.0	162853370
White	0.8108532275783084	2006.0	162853370
Black	-0.9007058760851815	2006.0	162853370
Hispanic	-0.6017854333134728	2006.0	162853370
API	0.7193199395868638	2007.0	162853370
White	0.8578156489042293	2007.0	162853370
Black	-0.8320166985441669	2007.0	162853370
Hispanic	-0.7451188899469262	2007.0	162853370
API	0.746558072743305	2008.0	162853370
White	0.8136722962603801	2008.0	162853370
Black	-0.7833425796851574	2008.0	162853370
Hispanic	-0.7768877893185279	2008.0	162853370
API	0.7392127131778938	2009.0	162853370
White	0.8826191260793679	2009.0	162853370
Black	-1.0932563056606714	2009.0	162853370
Hispanic	-0.528575533596591	2009.0	162853370
API	0.7112566958679093	2010.0	162853370
Black	-0.8686921764322424	2010.0	162853370
White	0.7598620341809923	2010.0	162853370
Hispanic	-0.6024265536166599	2010.0	162853370
Black	-0.6137140141945793	2011.0	162853370
Hispanic	-0.2860435464646093	2011.0	162853370
White	0.847607905539591	2011.0	162853370
API	0.8089736043500185	2011.0	162853370
Black	-0.3996544179664214	2012.0	162853370
Hispanic	-0.1854587661348278	2012.0	162853370
White	0.8682875015313134	2012.0	162853370
API	0.791549564168109	2012.0	162853370
API	0.6529680113911093	2013.0	162853370
White	0.8519332075436284	2013.0	162853370
Black	-0.8609360821005992	2013.0	162853370
Hispanic	-0.6439651368341377	2013.0	162853370
API	0.7066051552941491	2014.0	162853370
White	0.7287937455856298	2014.0	162853370
Black	-0.8648557091942147	2014.0	162853370
Hispanic	-0.5705431916855646	2014.0	162853370
API	0.6438888352502451	2015.0	162853370
White	0.8489099402468367	2015.0	162853370
Black	-1.0036621908740313	2015.0	162853370
Hispanic	-0.48913658462305	2015.0	162853370
API	0.7840291744793432	2016.0	162853370
White	0.725268750958235	2016.0	162853370
Black	-0.9813529731440316	2016.0	162853370
Hispanic	-0.5279449522935468	2016.0	162853370
API	0.7412119342191229	2017.0	162853370
White	0.8046303477162619	2017.0	162853370
Black	-0.9458206735134662	2017.0	162853370
Hispanic	-0.6000216084219173	2017.0	162853370
API		1981.0	1965285
White		1981.0	1965285
API	5.551115123125784e-16	1982.0	1965285
White	5.551115123125784e-16	1982.0	1965285
API		1983.0	1965285
White		1983.0	1965285
API		1984.0	1965285
White		1984.0	1965285
Hispanic		1984.0	1965285
API	-1.4142135623730967	1985.0	1965285
White	1.4142135623730936	1985.0	1965285
API		1986.0	1965285
White		1986.0	1965285
Hispanic		1986.0	1965285
API		1987.0	1965285
White		1987.0	1965285
API	5.551115123125784e-16	1988.0	1965285
White	6.661338147750939e-16	1988.0	1965285
API		1989.0	1965285
White		1989.0	1965285
Hispanic		1989.0	1965285
API	0.2331824665192638	1990.0	1965285
White	0.4598567234905603	1990.0	1965285
Hispanic	-0.6930391900098265	1990.0	1965285
API		1991.0	1965285
White		1991.0	1965285
Hispanic		1991.0	1965285
API		1992.0	1965285
White		1992.0	1965285
Black		1992.0	1965285
Hispanic		1992.0	1965285
API	-0.3165343134272712	1993.0	1965285
White	1.6267267484450652	1993.0	1965285
Hispanic	-1.310192435017796	1993.0	1965285
API	0.2094032643879881	1994.0	1965285
White	-0.0614003228388914	1994.0	1965285
Hispanic	-0.1480029415490998	1994.0	1965285
API		1995.0	1965285
White		1995.0	1965285
Hispanic		1995.0	1965285
API		1996.0	1965285
White		1996.0	1965285
Black		1996.0	1965285
Hispanic		1996.0	1965285
API	-1.414213562373095	1997.0	1965285
White	1.414213562373095	1997.0	1965285
API	0.4637440874586223	1998.0	1965285
White	0.9435903768420598	1998.0	1965285
Black	-0.162655576728963	1998.0	1965285
Hispanic	-1.2446788875717172	1998.0	1965285
API	-0.2994065678146533	1999.0	1965285
White	1.4799509325815383	1999.0	1965285
Hispanic	-1.180544364766887	1999.0	1965285
API	-1.414213562373096	2000.0	1965285
White	1.414213562373094	2000.0	1965285
API	-1.038138997302568	2001.0	1965285
White	0.631496711447982	2001.0	1965285
Hispanic	0.4066422858545875	2001.0	1965285
API	0.352965810158959	2002.0	1965285
White	0.0413972071686002	2002.0	1965285
Hispanic	-0.3943630173275584	2002.0	1965285
API	0.2530553348384645	2003.0	1965285
White	1.0589661036314424	2003.0	1965285
Hispanic	-1.312021438469908	2003.0	1965285
API	0.0408248874470311	2004.0	1965285
White	1.1785620463280286	2004.0	1965285
Hispanic	-1.2193869337750596	2004.0	1965285
API	0.4138891987956816	2005.0	1965285
White	0.6685535470690206	2005.0	1965285
Black	-0.2050934126128475	2005.0	1965285
Hispanic	-0.8773493332518498	2005.0	1965285
API	0.4302283156348421	2006.0	1965285
White	1.0486776184099476	2006.0	1965285
Black	-0.6539426030116317	2006.0	1965285
Hispanic	-0.8249633310331652	2006.0	1965285
API	0.6278665351950794	2007.0	1965285
White	0.4527668360793275	2007.0	1965285
Black	-0.4218065590950572	2007.0	1965285
Hispanic	-0.6588268121793525	2007.0	1965285
API	0.3908313156440228	2008.0	1965285
White	1.0467855197174325	2008.0	1965285
Hispanic	-1.437616835361455	2008.0	1965285
API	0.2450283832635054	2009.0	1965285
White	0.9856131039446476	2009.0	1965285
Hispanic	-1.2306414872081557	2009.0	1965285
API	0.4271867611780592	2010.0	1965285
White	0.7829508617630836	2010.0	1965285
Black	-0.9436974911352324	2010.0	1965285
Hispanic	-0.2664401318059045	2010.0	1965285
API	0.3540918694574203	2011.0	1965285
White	1.0934645950604536	2011.0	1965285
Hispanic	-1.4475564645178736	2011.0	1965285
API	0.9184887595922512	2012.0	1965285
White	0.7726892986957369	2012.0	1965285
Black	-1.0812330905800458	2012.0	1965285
Hispanic	-0.6099449677079466	2012.0	1965285
API	0.7062358292338752	2013.0	1965285
White	0.8828420767073409	2013.0	1965285
Black	-0.5464313559141334	2013.0	1965285
Hispanic	-1.0426465500270818	2013.0	1965285
API	0.3632618086020649	2014.0	1965285
White	0.9907382355120032	2014.0	1965285
Black	-0.7611278278851846	2014.0	1965285
Hispanic	-0.5928722162288806	2014.0	1965285
API	0.4071607439560689	2015.0	1965285
White	0.6428804432143633	2015.0	1965285
Hispanic	-1.0500411871704292	2015.0	1965285
API	0.8607277254698947	2016.0	1965285
White	0.6595456313477958	2016.0	1965285
Black	-1.020566250855766	2016.0	1965285
Hispanic	-0.4997071059619256	2016.0	1965285
API	0.2944372178697027	2017.0	1965285
White	1.0310679666575124	2017.0	1965285
Black	-0.4219537011811676	2017.0	1965285
Hispanic	-0.9035514833460482	2017.0	1965285
API	-0.5008829006808355	1980.0	44154836
White	1.2909914023317537	1980.0	44154836
Hispanic	-0.7901085016509162	1980.0	44154836
API	0.3998363658438817	1981.0	44154836
White	0.3285651474871208	1981.0	44154836
Hispanic	-0.7284015133309997	1981.0	44154836
API	0.6961675659886823	1982.0	44154836
White	0.7343157270616028	1982.0	44154836
Hispanic	-1.430483293050285	1982.0	44154836
API	-0.0702326946159835	1983.0	44154836
White	1.233037991072509	1983.0	44154836
Hispanic	-1.162805296456528	1983.0	44154836
API	0.5578959318512207	1984.0	44154836
White	0.9556560314558687	1984.0	44154836
Hispanic	-1.5135519633070882	1984.0	44154836
API	0.475368522422411	1985.0	44154836
White	1.07252986653885	1985.0	44154836
Black	-0.9545257807179476	1985.0	44154836
Hispanic	-0.5933726082433096	1985.0	44154836
API	0.7908472280357698	1986.0	44154836
White	0.9770441097324746	1986.0	44154836
Black	-0.7495127325657509	1986.0	44154836
Hispanic	-1.0183786052024943	1986.0	44154836
API	0.931756680471611	1987.0	44154836
White	0.5930925306152363	1987.0	44154836
Black	-0.5045440100844566	1987.0	44154836
Hispanic	-1.0203052010023914	1987.0	44154836
API	0.544280487203138	1988.0	44154836
White	0.7254670803440485	1988.0	44154836
Black	-0.7149771570634034	1988.0	44154836
Hispanic	-0.5547704104837862	1988.0	44154836
API	0.7039189590937207	1989.0	44154836
White	0.8480868972839234	1989.0	44154836
Black	-0.7846057456306164	1989.0	44154836
Hispanic	-0.7674001107470274	1989.0	44154836
API	0.5451304134639905	1990.0	44154836
White	0.9378033341709778	1990.0	44154836
Black	-0.7399362202172718	1990.0	44154836
Hispanic	-0.7429975274177001	1990.0	44154836
API	0.7919282215027755	1991.0	44154836
White	0.7540366603887195	1991.0	44154836
Black	-1.0259446199791888	1991.0	44154836
Hispanic	-0.5200202619123068	1991.0	44154836
API	0.7140343036940164	1992.0	44154836
White	0.8023148368039744	1992.0	44154836
Black	-1.114750506077689	1992.0	44154836
Hispanic	-0.4015986344203	1992.0	44154836
