Journal	Publisher	FieldName	iso	EdiCount	EdiTotal	AutCount	AutTotal
PLoS_One	plos	multi	AE	83	231093	4871	4835847
PNAS	pnas	multi	AE	12	57382	4871	4835847
PLoS_One	plos	multi	AR	477	231093	15938	4835847
PNAS	pnas	multi	AR	59	57382	15938	4835847
PLoS_One	plos	multi	AT	1598	231093	33764	4835847
PNAS	pnas	multi	AT	55	57382	33764	4835847
PLoS_One	plos	multi	AU	11361	231093	124003	4835847
PNAS	pnas	multi	AU	259	57382	124003	4835847
PLoS_One	plos	multi	BA	4	231093	407	4835847
PLoS_One	plos	multi	BD	90	231093	7833	4835847
PLoS_One	plos	multi	BE	1843	231093	43972	4835847
PNAS	pnas	multi	BE	155	57382	43972	4835847
PLoS_One	plos	multi	BG	16	231093	2200	4835847
PLoS_One	plos	multi	BH	129	231093	5301	4835847
PNAS	pnas	multi	BH	2	57382	5301	4835847
PLoS_One	plos	multi	BJ	13	231093	2622	4835847
PLoS_One	plos	multi	BR	4563	231093	113280	4835847
PNAS	pnas	multi	BR	34	57382	113280	4835847
PLoS_One	plos	multi	BW	89	231093	383	4835847
PLoS_One	plos	multi	CA	8806	231093	124565	4835847
PNAS	pnas	multi	CA	698	57382	124565	4835847
PLoS_One	plos	multi	CD	57	231093	439	4835847
PLoS_One	plos	multi	CH	2667	231093	60132	4835847
PNAS	pnas	multi	CH	252	57382	60132	4835847
PLoS_One	plos	multi	CL	247	231093	17813	4835847
PNAS	pnas	multi	CL	27	57382	17813	4835847
PLoS_One	plos	multi	CM	37	231093	3178	4835847
PLoS_One	plos	multi	CN	16365	231093	1044903	4835847
PNAS	pnas	multi	CN	428	57382	1044903	4835847
PLoS_One	plos	multi	CO	156	231093	7410	4835847
PNAS	pnas	multi	CO	4	57382	7410	4835847
PLoS_One	plos	multi	CU	87	231093	736	4835847
PLoS_One	plos	multi	CY	58	231093	1374	4835847
PNAS	pnas	multi	CY	1	57382	1374	4835847
PLoS_One	plos	multi	CZ	105	231093	21887	4835847
PNAS	pnas	multi	CZ	26	57382	21887	4835847
PLoS_One	plos	multi	DE	9395	231093	247199	4835847
PNAS	pnas	multi	DE	773	57382	247199	4835847
PLoS_One	plos	multi	DK	1150	231093	33666	4835847
PNAS	pnas	multi	DK	47	57382	33666	4835847
PLoS_One	plos	multi	DO	4	231093	77	4835847
PNAS	pnas	multi	DO	1	57382	77	4835847
PLoS_One	plos	multi	DZ	5	231093	462	4835847
PLoS_One	plos	multi	EC	10	231093	1370	4835847
PLoS_One	plos	multi	EE	370	231093	3609	4835847
PLoS_One	plos	multi	EG	485	231093	14568	4835847
PLoS_One	plos	multi	ES	5001	231093	129855	4835847
PNAS	pnas	multi	ES	24	57382	129855	4835847
PLoS_One	plos	multi	ET	43	231093	12280	4835847
PNAS	pnas	multi	ET	37	57382	12280	4835847
PLoS_One	plos	multi	FI	1009	231093	23519	4835847
PNAS	pnas	multi	FI	56	57382	23519	4835847
PLoS_One	plos	multi	FJ	9	231093	111	4835847
PLoS_One	plos	multi	FR	8098	231093	158889	4835847
PNAS	pnas	multi	FR	473	57382	158889	4835847
PLoS_One	plos	multi	GB	19015	231093	229313	4835847
PNAS	pnas	multi	GB	1921	57382	229313	4835847
PLoS_One	plos	multi	GD	2	231093	216	4835847
PLoS_One	plos	multi	GF	28	231093	247	4835847
PLoS_One	plos	multi	GH	65	231093	7947	4835847
PLoS_One	plos	multi	GR	1041	231093	17177	4835847
PNAS	pnas	multi	GR	6	57382	17177	4835847
PLoS_One	plos	multi	GU	8	231093	40	4835847
PLoS_One	plos	multi	GW	3	231093	92	4835847
PLoS_One	plos	multi	HR	109	231093	4762	4835847
PNAS	pnas	multi	HR	1	57382	4762	4835847
PLoS_One	plos	multi	HU	1667	231093	17627	4835847
PNAS	pnas	multi	HU	36	57382	17627	4835847
PLoS_One	plos	multi	ID	39	231093	6364	4835847
PNAS	pnas	multi	ID	5	57382	6364	4835847
PLoS_One	plos	multi	IE	656	231093	14109	4835847
PNAS	pnas	multi	IE	26	57382	14109	4835847
PLoS_One	plos	multi	IL	1139	231093	28692	4835847
PNAS	pnas	multi	IL	255	57382	28692	4835847
PLoS_One	plos	multi	IN	3549	231093	67437	4835847
PNAS	pnas	multi	IN	133	57382	67437	4835847
PLoS_One	plos	multi	IQ	2	231093	1340	4835847
PLoS_One	plos	multi	IR	785	231093	23581	4835847
PLoS_One	plos	multi	IS	56	231093	1171	4835847
