FieldName	Year	Race
Biology	2020	API
Chemistry	2020	API
Chemistry	2020	API
Physics	2020	API
Biology	2018	API
Chemistry	2018	API
Biology	2018	API
Chemistry	2018	API
Chemistry	2019	API
Physics	2019	API
Physics	2019	API
Engineering	2019	API
Materials science	2019	API
Chemistry	2019	API
Physics	2019	API
Physics	2018	API
Biology	2019	API
Chemistry	2019	API
Biology	2019	API
Environmental science	2019	API
Biology	2019	API
Chemistry	2019	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Economics	2020	API
Computer science	2020	API
Economics	2020	API
Computer science	2020	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Biology	2014	White
Chemistry	2014	White
Biology	2014	White
Chemistry	2014	White
Biology	2014	White
Chemistry	2014	White
Biology	2014	White
Chemistry	2014	White
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Physics	2020	API
Biology	2020	API
Chemistry	2020	API
Physics	2020	API
Biology	2020	API
Chemistry	2020	API
Computer science	2020	API
Physics	2020	API
Engineering	2020	API
Materials science	2020	API
Biology	2019	API
Chemistry	2019	API
Biology	2019	API
Chemistry	2019	API
Materials science	2019	API
Biology	2019	API
Biology	2016	White
Biology	2016	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Physics	2018	White
Mathematics	2018	White
Biology	2018	White
Chemistry	2018	White
Biology	2018	White
Chemistry	2018	White
Biology	2018	White
Biology	2017	White
Chemistry	2017	White
Biology	2020	White
Chemistry	2020	White
Biology	2012	White
Chemistry	2012	White
Biology	2012	White
Chemistry	2012	White
Biology	2013	White
Chemistry	2013	White
Biology	2018	API
Chemistry	2018	API
Biology	2018	API
Chemistry	2018	API
Biology	2018	API
Chemistry	2018	API
Biology	2018	API
Chemistry	2018	API
Materials science	2018	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Medicine	2020	API
Biology	2020	API
Chemistry	2020	API
Medicine	2020	API
Biology	2020	API
Chemistry	2020	API
Medicine	2020	API
Biology	2020	API
Medicine	2020	API
Biology	2020	API
Medicine	2020	API
Biology	2020	API
Medicine	2020	API
Biology	2020	API
Medicine	2020	API
Biology	2020	API
Medicine	2020	API
Biology	2020	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Medicine	2020	API
Biology	2020	API
Chemistry	2020	API
Medicine	2020	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	White
Chemistry	2020	White
Biology	2020	White
Biology	2019	White
Biology	2019	White
Chemistry	2019	White
Medicine	2014	White
Biology	2014	White
Chemistry	2014	White
Biology	2017	White
Geology	2017	White
Biology	2017	White
Geology	2017	White
Biology	2018	White
Chemistry	2018	White
Medicine	2020	White
Medicine	2020	White
Biology	2020	White
Medicine	2020	White
Biology	2020	White
Psychology	2020	White
Biology	2020	API
Geology	2020	API
Chemistry	2020	API
Biology	2020	API
Geology	2020	API
Chemistry	2020	API
Biology	2020	API
Geology	2020	API
Chemistry	2020	API
Biology	2020	White
Chemistry	2020	White
Biology	2020	White
Chemistry	2020	White
Biology	2020	White
Chemistry	2020	White
Biology	2019	White
Chemistry	2019	White
Physics	2019	White
Biology	2019	White
Chemistry	2019	White
Physics	2019	White
Medicine	2019	White
Psychology	2019	White
Medicine	2019	White
Psychology	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2011	White
Chemistry	2011	White
Biology	2011	White
Chemistry	2011	White
Chemistry	2011	White
Materials science	2011	White
Chemistry	2011	White
Materials science	2011	White
Chemistry	2011	White
Materials science	2011	White
Chemistry	2014	White
Materials science	2014	White
Chemistry	2014	White
Materials science	2014	White
Chemistry	2014	White
Materials science	2014	White
Medicine	2014	API
Biology	2014	API
Physics	2014	API
Engineering	2014	API
Mathematics	2014	API
Physics	2014	API
Biology	2014	API
Geology	2014	API
Engineering	2017	API
Mathematics	2017	API
Computer science	2017	API
Computer science	2017	API
Mathematics	2017	API
Computer science	2017	API
Biology	2017	API
Chemistry	2017	API
Biology	2017	API
Geology	2017	API
Geology	2017	API
Mathematics	2017	API
Geography	2017	API
Medicine	2017	API
Biology	2017	API
Engineering	2017	API
Medicine	2017	API
Mathematics	2017	API
Economics	2017	API
Business	2017	API
Physics	2017	API
Engineering	2017	API
Mathematics	2017	API
Biology	2017	API
Medicine	2017	API
Psychology	2017	API
Medicine	2017	API
Biology	2017	API
Economics	2017	API
Computer science	2017	API
Medicine	2014	White
Biology	2014	White
Medicine	2014	White
Biology	2014	White
Medicine	2014	White
Biology	2014	White
Medicine	2014	White
Biology	2014	White
Medicine	2014	White
Biology	2014	White
Chemistry	2014	White
Medicine	2014	White
Biology	2014	White
Chemistry	2014	White
Medicine	2014	White
Biology	2014	White
Chemistry	2014	White
History	2014	White
Geography	2014	White
Medicine	2014	White
Biology	2014	White
Chemistry	2014	White
History	2014	White
Geography	2014	White
Medicine	2014	White
Biology	2014	White
Medicine	2014	White
Biology	2014	White
Medicine	2014	White
Biology	2014	White
Medicine	2014	White
Biology	2014	White
Medicine	2014	White
Biology	2014	White
Medicine	2014	White
Biology	2014	White
Biology	2014	White
Geology	2014	White
Psychology	2014	White
History	2014	White
Geography	2014	White
Biology	2014	White
Geology	2014	White
Psychology	2014	White
History	2014	White
Geography	2014	White
Medicine	2016	White
Mathematics	2016	White
Medicine	2016	White
Mathematics	2016	White
Medicine	2016	White
Biology	2016	White
Medicine	2016	White
Biology	2016	White
Medicine	2015	White
Biology	2015	White
Medicine	2015	White
Biology	2015	White
Medicine	2015	White
Biology	2015	White
Medicine	2015	White
Medicine	2015	White
Medicine	2015	White
Medicine	2017	White
Psychology	2017	White
Medicine	2017	White
Psychology	2017	White
